School Name,Street Address,Suburb,Sector,lat,lon
Jervis Bay Primary,Jervis Bay,ACT 2540,Government,-35.135012,150.703614
Neville Bonner Primary School,Mabo Boulevard,Bonner,Government,-35.161141,149.139812
Amaroo School,Katherine Avenue,Amaroo,Government,-35.163986,149.129705
Amaroo School,Katherine Avenue,Amaroo,Government,-35.163986,149.129705
Amaroo School,Katherine Avenue,Amaroo,Government,-35.163986,149.129705
Good Shepherd Primary School,Burdekin Avenue,Amaroo,Non-Government,-35.166843,149.123922
Ngunnawal Primary,Unaipon Crescent,Ngunnawal,Government,-35.169196,149.111784
Holy Spirit Primary,Kelleway Avenue,Nicholls,Non-Government,-35.180246,149.101809
Gold Creek School,Kelleway Street,Nicholls,Government,-35.181275,149.100262
Gold Creek School,Kelleway Street,Nicholls,Government,-35.181275,149.100262
Gold Creek School,Kelleway Street,Nicholls,Government,-35.181275,149.100262
Gungahlin College,Gozzard Street,Gungahlin,Government,-35.185515,149.131357
Burgmann Anglican School - Valley Campus,Cnr Gungahlin Drive & The Valley Avenue,Gungahlin,Non-Government,-35.188529,149.123672
Fraser Primary,Tillyard Drive,Fraser,Government,-35.191795,149.043375
Palmerston District Primary,Kosciusko Avenue,Palmerston,Government,-35.1975,149.120303
Gungahlin Primary Introductory English Centre (at Palmerston District Primary School),Kosciuszko Avenue,Palmerston,Government,-35.1975,149.120303
Harrison School,Nullabor Avenue,Harrison,Government,-35.1975306,149.15164
Harrison School,Nullabor Avenue,Harrison,Government,-35.1975306,149.15164
Harrison School,Wimmera Street,Harrison,Government,-35.1975306,149.1516423
Charnwood-Dunlop School,Bettington Circuit,Charnwood,Government,-35.198682,149.036203
Belconnen Primary Introductory English Centre (at Charnwood Dunlop Primary School),Bettington Circuit,Charnwood,Government,-35.19876,149.03622
Franklin Early Childhood School,Oodgeroo Avenue,Franklin,Government,-35.200461,149.141327
Franklin Early Childhood School,Oodgeroo Avenue,Franklin,Government,-35.200461,149.141327
St Thomas Aquinas Primary,Lhotsky Street,Charnwood,Non-Government,-35.205121,149.029638
Evatt Primary,Heydon Crescent,Evatt,Government,-35.20707,149.075906
Mount Rogers Primary School,Alfred Hill Drive,Melba,Government,-35.208737,149.055621
Melba Copland Secondary School - Copland Campus Years 11 - 12,Copland Drive,Melba,Government,-35.212194,149.059163
Melba Copland Secondary School,Conley Drive,Melba,Government,-35.21254,149.059794
Macgregor Primary,Hirschfeld Crescent,MacGregor,Government,-35.213112,149.012349
Miles Franklin Primary,Alderman Street,Evatt,Government,-35.213295,149.066961
St Monica's Primary,Moynihan Street,Evatt,Non-Government,-35.213525,149.061289
Giralang Primary,Canopus Crescent,Giralang,Government,-35.213717,149.094449
Latham Primary,O'Loghlen Street,Latham,Government,-35.220157,149.034298
St Michael's Primary,Tyrell Circuit,Kaleen,Non-Government,-35.223474,149.109707
St Francis Xavier College,Barnard Circuit,Florey,Non-Government,-35.223979,149.040615
Kaleen Primary,Ashburton Circuit,Kaleen,Government,-35.224835,149.11404
Cranleigh School,Starke Street,Holt,Government,-35.224913,149.02911
University of Canberra High School - Kaleen,Baldwin Drive,Kaleen,Government,-35.225083,149.1012
Instrumental Music Program c/o Kaleen High School,Baldwin Drive,Kaleen,Government,-35.225083,149.1012
St John the Apostle Primary,Pawsey Circuit,Florey,Non-Government,-35.225664,149.041696
Florey Primary,Ratcliffe Crescent,Florey,Government,-35.226519,149.052092
Kingsford Smith School,Cnr Hardwick Cres and Starke St,Holt,Government,-35.226971,149.023361
Kingsford Smith School,Cnr Hardwick Cres and Starke St,Holt,Government,-35.227532,149.021001
Kingsford Smith School,Cnr Hardwick Cres and Starke St,Holt,Government,-35.227532,149.021001
Southern Cross Early Childhood School,Wirraway Crescent,Scullin,Government,-35.232767,149.038363
Southern Cross Early Childhood School,Wirraway Crescent,Scullin,Government,-35.232767,149.038363
